Order,Event,Name,MMA Record,UFC Record,Fight Minutes,Avg Minutes,ADVANCED_xR,ADVANCED_xR%,AmongWins_Avg Minutes,AmongWins_FIN,AmongWins_FIN%,AmongWins_R1 FIN,AmongWins_R1 FIN%,AmongWins_KO,AmongWins_KO%,AmongWins_R1 KO,AmongWins_R1 KO%,AmongWins_SUB,AmongWins_SUB%,AmongWins_R1 SUB,AmongWins_R1 SUB%,AmongLosses_Avg Minutes,AmongLosses_FIN,AmongLosses_FIN%,AmongLosses_R1 FIN,AmongLosses_R1 FIN%,AmongLosses_KO,AmongLosses_KO%,AmongLosses_R1 KO,AmongLosses_R1 KO%,AmongLosses_SUB,AmongLosses_SUB%,AmongLosses_R1 SUB,AmongLosses_R1 SUB%
12a,UFC FN: Ankalaev vs. Rountree Jr,Magomed Ankalaev,21-2-1,12-2-1,189,11.8,31.6,75%,12.0,6,50%,3,25%,6,50%,3,25%,0,0%,0,0%,8.2,2,100%,1,50%,1,50%,1,50%,1,50%
12b,UFC FN: Ankalaev vs. Rountree Jr,Khalil Rountree Jr.,15-7-0,10-7-0,175,9.7,18.9,46%,8.9,7,70%,4,40%,7,70%,4,40%,0,0%,0,0%,10.2,5,71%,3,43%,4,57%,2,29%,1,14%
13a,UFC FN: Ankalaev vs. Rountree Jr,Steve Erceg,14-4-0,5-3-0,120,14.9,14.4,58%,13.1,1,20%,0,0%,1,20%,0,0%,0,0%,0,0%,18.0,1,33%,1,33%,1,33%,1,33%,0,0%
13b,UFC FN: Ankalaev vs. Rountree Jr,Ramazan Temirov,19-3-0,2-0-0,18,8.9,2.6,66%,8.9,1,50%,1,50%,1,50%,1,50%,0,0%,0,0%,,0,,0,,0,,0,,0,
14a,UFC FN: Ankalaev vs. Rountree Jr,Islam Dulatov,12-1-0,1-0-0,4,4.1,1.0,100%,4.1,1,100%,1,100%,1,100%,1,100%,0,0%,0,0%,,0,,0,,0,,0,,0,
14b,UFC FN: Ankalaev vs. Rountree Jr,Wellington Turman,18-8-0,3-6-0,97,10.7,7.7,37%,12.2,1,33%,0,0%,0,0%,0,0%,1,33%,0,0%,10.0,3,50%,2,33%,2,33%,2,33%,1,17%
15a,UFC FN: Ankalaev vs. Rountree Jr,Magomed Zaynukov,8-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15b,UFC FN: Ankalaev vs. Rountree Jr,Damian Rzepecki,10-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16a,UFC FN: Ankalaev vs. Rountree Jr,Rizvan Kuniev,13-3-1,1-1-0,30,15.0,3.6,60%,15.0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,15.0,0,0%,0,0%,0,0%,0,0%,0,0%
16b,UFC FN: Ankalaev vs. Rountree Jr,Tyrell Fortune,18-3-0,1-0-0,15,15.0,1.6,52%,15.0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,0,,0,,0,,0,,0,
17a,UFC FN: Ankalaev vs. Rountree Jr,Valter Walker,15-1-0,4-1-0,24,4.7,5.5,79%,2.1,4,100%,4,100%,0,0%,0,0%,4,100%,4,100%,15.0,0,0%,0,0%,0,0%,0,0%,0,0%
17b,UFC FN: Ankalaev vs. Rountree Jr,Thomas Petersen,11-4-0,3-3-0,74,12.3,10.1,63%,15.0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,9.5,2,67%,1,33%,2,67%,1,33%,0,0%
18a,UFC FN: Ankalaev vs. Rountree Jr,Uran Satybaldiev,9-1-0,1-1-0,18,8.9,1.5,38%,2.8,1,100%,1,100%,0,0%,0,0%,1,100%,1,100%,15.0,0,0%,0,0%,0,0%,0,0%,0,0%
18b,UFC FN: Ankalaev vs. Rountree Jr,Dustin Jacoby,22-9-1,10-6-1,166,9.7,23.3,61%,7.8,7,70%,5,50%,7,70%,5,50%,0,0%,0,0%,12.2,2,33%,1,17%,1,17%,1,17%,1,17%
19a,UFC FN: Ankalaev vs. Rountree Jr,Ismael Bonfim,20-6-0,2-3-0,42,8.3,4.8,53%,11.1,1,50%,0,0%,1,50%,0,0%,0,0%,0,0%,6.4,3,100%,2,67%,2,67%,1,33%,1,33%
19b,UFC FN: Ankalaev vs. Rountree Jr,Axel Sola,11-1-1,1-1-0,27,13.5,3.3,56%,12.0,1,100%,0,0%,1,100%,0,0%,0,0%,0,0%,15.0,0,0%,0,0%,0,0%,0,0%,0,0%
20a,UFC FN: Ankalaev vs. Rountree Jr,Magomed Tuchalov,6-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20b,UFC FN: Ankalaev vs. Rountree Jr,Brendson Ribeiro,17-10-0,2-5-0,49,7.0,2.7,23%,10.7,1,50%,0,0%,0,0%,0,0%,1,50%,0,0%,5.5,4,80%,4,80%,3,60%,3,60%,1,20%
21a,UFC FN: Ankalaev vs. Rountree Jr,Nurullo Aliev,11-0-0,3-0-0,45,15.0,7.3,81%,15.0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,0,,0,,0,,0,,0,
21b,UFC FN: Ankalaev vs. Rountree Jr,Mike Davis,12-3-0,5-2-0,85,12.1,10.1,56%,12.1,3,60%,0,0%,2,40%,0,0%,1,20%,0,0%,12.1,1,50%,0,0%,0,0%,0,0%,1,50%
