Order,Event,Name,MMA Record,UFC Record,DISTANCE STRIKING PREVALENCE_Fight Minutes,DISTANCE STRIKING PREVALENCE_% of Time,DISTANCE STRIKING PREVALENCE_% of Strikes,DISTANCE SIGNIFICANT STRIKES (PER MINUTE AT DISTANCE)_Landed,DISTANCE SIGNIFICANT STRIKES (PER MINUTE AT DISTANCE)_Absorbed,DISTANCE SIGNIFICANT STRIKES (PER MINUTE AT DISTANCE)_Differential,DISTANCE STRIKING EFFICIENCY_Accuracy,DISTANCE STRIKING EFFICIENCY_Defense,KNOCKDOWNS_Landed,KNOCKDOWNS_Land Rate,KNOCKDOWNS_Conceded,KNOCKDOWNS_Concede Rate,HEAD SIGNIFICANT STRIKES_% of Strikes Landed,HEAD SIGNIFICANT STRIKES_Accuracy,HEAD SIGNIFICANT STRIKES_% of Strikes Absorbed,HEAD SIGNIFICANT STRIKES_Defense,BODY SIGNIFICANT STRIKES_% of Strikes Landed,BODY SIGNIFICANT STRIKES_Accuracy,BODY SIGNIFICANT STRIKES_% of Strikes Absorbed,BODY SIGNIFICANT STRIKES_Defense,LEG SIGNIFICANT STRIKES_% of Strikes Landed,LEG SIGNIFICANT STRIKES_Accuracy,LEG SIGNIFICANT STRIKES_% of Strikes Absorbed,LEG SIGNIFICANT STRIKES_Defense
12a,UFC FN: Ankalaev vs. Rountree Jr,Magomed Ankalaev,21-2-1,12-2-1,189,69%,71%,3.8,3.2,0.5,47%,59%,7,1.6%,1,0.4%,56%,42%,31%,77%,27%,74%,23%,40%,17%,91%,46%,16%
12b,UFC FN: Ankalaev vs. Rountree Jr,Khalil Rountree Jr.,15-7-0,10-7-0,175,88%,91%,4.0,4.4,-0.4,39%,51%,14,2.7%,3,0.5%,55%,29%,58%,60%,24%,73%,22%,23%,21%,82%,20%,17%
13a,UFC FN: Ankalaev vs. Rountree Jr,Steve Erceg,14-4-0,5-3-0,120,76%,89%,5.4,4.6,0.8,45%,58%,1,0.2%,2,0.6%,74%,42%,58%,65%,18%,70%,20%,37%,8%,88%,22%,14%
13b,UFC FN: Ankalaev vs. Rountree Jr,Ramazan Temirov,19-3-0,2-0-0,18,90%,85%,4.1,3.1,1.0,39%,66%,3,4.1%,0,0.0%,77%,37%,41%,75%,22%,57%,34%,27%,1%,100%,24%,26%
14a,UFC FN: Ankalaev vs. Rountree Jr,Islam Dulatov,12-1-0,1-0-0,4,75%,76%,5.2,4.2,1.0,46%,43%,1,5.9%,0,0.0%,81%,46%,36%,69%,14%,100%,14%,50%,5%,100%,50%,0%
14b,UFC FN: Ankalaev vs. Rountree Jr,Wellington Turman,18-8-0,3-6-0,97,44%,76%,5.6,6.1,-0.6,46%,53%,0,0.0%,1,0.4%,59%,42%,67%,53%,21%,64%,22%,25%,21%,88%,11%,2%
15a,UFC FN: Ankalaev vs. Rountree Jr,Magomed Zaynukov,8-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,
15b,UFC FN: Ankalaev vs. Rountree Jr,Damian Rzepecki,10-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,
16a,UFC FN: Ankalaev vs. Rountree Jr,Rizvan Kuniev,13-3-1,1-1-0,30,54%,65%,3.5,4.1,-0.6,36%,52%,0,0.0%,0,0.0%,78%,39%,59%,58%,17%,75%,17%,21%,5%,100%,24%,5%
16b,UFC FN: Ankalaev vs. Rountree Jr,Tyrell Fortune,18-3-0,1-0-0,15,61%,60%,2.0,3.9,-2.0,42%,63%,0,0.0%,0,0.0%,80%,45%,47%,71%,20%,100%,43%,26%,0%,,11%,17%
17a,UFC FN: Ankalaev vs. Rountree Jr,Valter Walker,15-1-0,4-1-0,24,41%,70%,3.4,6.6,-3.1,49%,43%,0,0.0%,0,0.0%,51%,38%,49%,59%,17%,80%,25%,15%,32%,94%,25%,0%
17b,UFC FN: Ankalaev vs. Rountree Jr,Thomas Petersen,11-4-0,3-3-0,74,57%,75%,4.0,3.9,0.1,56%,59%,1,0.6%,3,1.8%,64%,49%,68%,62%,27%,85%,25%,34%,8%,100%,7%,13%
18a,UFC FN: Ankalaev vs. Rountree Jr,Uran Satybaldiev,9-1-0,1-1-0,18,61%,89%,3.1,5.2,-2.0,23%,46%,1,3.8%,0,0.0%,53%,16%,46%,60%,16%,60%,9%,33%,32%,75%,45%,15%
18b,UFC FN: Ankalaev vs. Rountree Jr,Dustin Jacoby,22-9-1,10-6-1,166,81%,89%,6.0,4.5,1.5,45%,60%,7,1.0%,6,1.1%,68%,39%,69%,65%,14%,70%,13%,32%,18%,85%,18%,13%
19a,UFC FN: Ankalaev vs. Rountree Jr,Ismael Bonfim,20-6-0,2-3-0,42,73%,90%,6.8,4.6,2.2,53%,60%,1,0.5%,0,0.0%,64%,45%,49%,67%,21%,84%,24%,40%,15%,92%,27%,30%
19b,UFC FN: Ankalaev vs. Rountree Jr,Axel Sola,11-1-1,1-1-0,27,80%,88%,4.5,4.9,-0.4,44%,66%,1,0.9%,0,0.0%,81%,42%,72%,68%,19%,70%,24%,20%,0%,,3%,17%
20a,UFC FN: Ankalaev vs. Rountree Jr,Magomed Tuchalov,6-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,
20b,UFC FN: Ankalaev vs. Rountree Jr,Brendson Ribeiro,17-10-0,2-5-0,49,61%,97%,4.1,4.4,-0.2,42%,56%,1,1.0%,2,2.0%,53%,31%,53%,62%,22%,66%,27%,32%,25%,68%,19%,22%
21a,UFC FN: Ankalaev vs. Rountree Jr,Nurullo Aliev,11-0-0,3-0-0,45,44%,67%,3.5,3.6,-0.1,39%,60%,0,0.0%,0,0.0%,81%,39%,45%,72%,14%,71%,27%,46%,5%,56%,28%,15%
21b,UFC FN: Ankalaev vs. Rountree Jr,Mike Davis,12-3-0,5-2-0,85,54%,74%,6.3,7.5,-1.2,50%,59%,4,1.4%,0,0.0%,64%,48%,61%,66%,27%,71%,17%,27%,9%,77%,22%,7%
