fight_id,event_date,weight_class,is_title_bout,is_main_event,a_name,b_name,a_archetype,b_archetype,a_short_notice,b_short_notice,a_long_layoff,b_long_layoff,a_age,b_age,a_ufc_fights,b_ufc_fights,a_win_rate_l3,b_win_rate_l3,a_finish_rate,b_finish_rate,a_recent_1,b_recent_1,prob_a,confidence,confidence_bucket,model_pick,a_won,correct,fav_hit,fm_blend_a,fm_blend_b,fm_prob_a,fm_pick,fm_correct,v2_fm_agree,ensemble_prob_a,ensemble_pick,ensemble_correct
36d12b31957e94db,2026-02-28,Bantamweight,0,0,David Martinez,Marlon Vera,Volume Striker,Volume Striker,0,0,0,0,27.6,33.2,2,25,1.0,0.0,0.5,0.7333,W,L,0.5799,0.5799,lean (55-60%),A,1,1,1,1882.5500000000002,1805.0,0.6097862178505717,A,1.0,True,0.5948431089252859,A,1.0
370ff29489150560,2026-05-30,Women's Strawweight,0,0,Jaqueline Amorim,Loma Lookboonmee,Sub Specialist,Point Fighter,0,0,0,0,30.9,30.4,6,10,0.6667,0.6667,1.0,0.1429,L,L,0.5029,0.5029,tossup (50-55%),A,1,1,1,,,,TIE,,False,,B,
39417b7d07c2fd83,2026-05-16,Women's Strawweight,0,0,Nicolle Caliari,Shauna Bannon,Volume Striker,Volume Striker,0,0,0,0,29.5,32.6,2,4,0.0,0.6667,0.0,0.5,L,L,0.4001,0.5999,lean (55-60%),B,1,0,0,1386.5500000000002,1205.65,0.7391092694157216,A,1.0,False,0.5696046347078608,A,1.0
3b4803afa824fea3,2026-06-20,Flyweight,0,0,Allan Nascimento,Mitch Raposo,Sub Specialist,Point Fighter,0,0,0,0,34.8,27.7,6,3,1.0,0.3333,0.5,0.0,W,W,0.5229,0.5229,tossup (50-55%),A,0,0,0,1739.6,1575.3000000000002,0.7202670860627695,A,0.0,True,0.6215835430313847,A,0.0
3b7b771b9578383d,2026-03-14,Women's Strawweight,0,0,Amanda Lemos,Gillian Robertson,Point Fighter,Sub Specialist,0,0,0,0,38.8,30.8,14,19,0.3333,1.0,0.5556,0.7692,L,W,0.3489,0.6511,med (60-70%),B,0,1,1,1596.5,1727.8000000000002,0.31955370322380755,B,1.0,True,0.3342268516119038,B,1.0
3b9f50f07d9a1601,2026-03-21,Featherweight,0,0,Losene Keita,Nathaniel Wood,Point Fighter,Volume Striker,0,0,0,0,28.2,32.9,0,13,0.0,1.0,0.0,0.3,,W,0.3691,0.6309,med (60-70%),B,0,1,1,1892.4,1862.1000000000001,0.5434949917590682,A,0.0,False,0.4562974958795341,B,1.0
3bc0190fb17ba42f,2026-05-30,Bantamweight,0,0,Aoriqileng,Cody Haddon,Volume Striker,Volume Striker,0,0,0,1,32.9,27.7,9,1,0.3333,1.0,0.5,0.0,W,W,0.3521,0.6479,med (60-70%),B,0,1,1,,,,TIE,,False,,B,
3ee578ddd071ad4c,2026-03-21,Lightweight,0,0,Axel Sola,Mason Jones,Volume Striker,Wrestler,0,0,0,0,28.5,30.9,1,6,1.0,0.6667,1.0,0.3333,W,W,0.5278,0.5278,tossup (50-55%),A,0,0,0,1736.9,1888.5500000000002,0.2946371871198721,B,1.0,False,0.41121859355993606,B,1.0
3f719885c9916e06,2026-05-30,Women's Strawweight,0,0,Angela Hill,Xiong Jingnan,Volume Striker,Point Fighter,0,0,0,0,41.4,38.4,29,0,0.3333,0.0,0.2308,0.0,L,,0.4803,0.5197,tossup (50-55%),B,1,0,0,,,,TIE,,False,,B,
419fff06f338f5c6,2026-06-06,Middleweight,0,0,Brendan Allen,Edmen Shahbazyan,Sub Specialist,Volume Striker,0,0,0,0,30.4,28.5,19,15,0.6667,1.0,0.6667,0.8,W,W,0.5298,0.5298,tossup (50-55%),A,1,1,1,2069.3500000000004,1742.5500000000002,0.8677502796665784,A,1.0,True,0.6987751398332892,A,1.0
423f32dd018ac218,2026-05-30,Bantamweight,0,1,Deiveson Figueiredo,Song Yadong,Point Fighter,Volume Striker,0,0,0,0,38.4,28.5,21,16,0.3333,0.3333,0.5714,0.5455,L,L,0.305,0.695,med (60-70%),B,0,1,1,,,,TIE,,False,,B,
