fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Alex Pereira,Ciryl Gane,PMU (FR),Under,2.5,1.93,2026-05-25,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Over,1.5,1.67,2026-05-25,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Under,1.5,2.2,2026-05-25,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Over,1.5,1.74,2026-05-25,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Under,1.5,2.02,2026-05-25,2026-06-15
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,1.97,2026-05-25,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.76,2026-05-25,2026-07-12
Loma Lookboonmee,Jaqueline Amorim,BetOnline.ag,Over,2.5,1.51,2026-05-30,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,BetOnline.ag,Under,2.5,2.7,2026-05-30,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,1xBet,Over,2.5,1.48,2026-05-30,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,1xBet,Under,2.5,2.55,2026-05-30,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,Pinnacle,Over,2.5,1.45,2026-05-30,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,Pinnacle,Under,2.5,2.85,2026-05-30,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,Coolbet,Over,2.5,1.54,2026-05-30,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,Coolbet,Under,2.5,2.55,2026-05-30,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,BetAnything,Over,2.5,1.48,2026-05-30,2026-05-30
Loma Lookboonmee,Jaqueline Amorim,BetAnything,Under,2.5,2.75,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,Pinnacle,Over,2.5,1.38,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,Pinnacle,Under,2.5,3.17,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,BetOnline.ag,Over,2.5,1.37,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,BetOnline.ag,Under,2.5,3.22,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,1xBet,Over,2.5,1.36,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,1xBet,Under,2.5,3.0,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,Coolbet,Over,2.5,1.4,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,Coolbet,Under,2.5,3.05,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,BetAnything,Over,2.5,1.37,2026-05-30,2026-05-30
Rodrigo Vera,Kangjie Zhu,BetAnything,Under,2.5,3.1,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,BetOnline.ag,Over,2.5,1.22,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,BetOnline.ag,Under,2.5,4.5,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,1xBet,Over,2.5,1.21,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,1xBet,Under,2.5,4.2,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,Pinnacle,Over,2.5,1.23,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,Pinnacle,Under,2.5,4.49,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,Coolbet,Over,2.5,1.25,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,Coolbet,Under,2.5,4.15,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,BetAnything,Over,2.5,1.22,2026-05-30,2026-05-30
Angela Hill,Jingnan Xiong,BetAnything,Under,2.5,3.85,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,BetOnline.ag,Over,2.5,1.58,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,BetOnline.ag,Under,2.5,2.51,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,1xBet,Over,2.5,1.53,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,1xBet,Under,2.5,2.4,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,Pinnacle,Over,2.5,1.56,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,Pinnacle,Under,2.5,2.5,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,Coolbet,Over,2.5,1.55,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,Coolbet,Under,2.5,2.5,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,BetAnything,Over,2.5,1.56,2026-05-30,2026-05-30
Rei Tsuruya,Luis Gurule,BetAnything,Under,2.5,2.5,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,BetOnline.ag,Over,2.5,1.8,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,BetOnline.ag,Under,2.5,2.05,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,1xBet,Over,2.5,1.84,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,1xBet,Under,2.5,1.9,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,Pinnacle,Over,2.5,1.8,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,Pinnacle,Under,2.5,2.07,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,Coolbet,Over,2.5,1.88,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,Coolbet,Under,2.5,1.96,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,BetAnything,Over,2.5,1.8,2026-05-30,2026-05-30
Aori Qileng,Cody Haddon,BetAnything,Under,2.5,1.95,2026-05-30,2026-05-30
Meng Ding,José Henrique,BetOnline.ag,Over,1.5,1.67,2026-05-30,2026-05-30
Meng Ding,José Henrique,BetOnline.ag,Under,1.5,2.3,2026-05-30,2026-05-30
Meng Ding,José Henrique,Pinnacle,Over,1.5,1.62,2026-05-30,2026-05-30
Meng Ding,José Henrique,Pinnacle,Under,1.5,2.38,2026-05-30,2026-05-30
Meng Ding,José Henrique,Coolbet,Over,1.5,1.58,2026-05-30,2026-05-30
Meng Ding,José Henrique,Coolbet,Under,1.5,2.45,2026-05-30,2026-05-30
Meng Ding,José Henrique,1xBet,Over,2.5,2.21,2026-05-30,2026-05-30
Meng Ding,José Henrique,1xBet,Under,2.5,1.62,2026-05-30,2026-05-30
Meng Ding,José Henrique,BetAnything,Over,1.5,1.57,2026-05-30,2026-05-30
Meng Ding,José Henrique,BetAnything,Under,1.5,2.45,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,BetOnline.ag,Over,1.5,1.87,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,BetOnline.ag,Under,1.5,1.95,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,1xBet,Over,1.5,1.76,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,1xBet,Under,1.5,2.0,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,Pinnacle,Over,1.5,1.79,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,Pinnacle,Under,1.5,2.08,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,Coolbet,Over,1.5,1.8,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,Coolbet,Under,1.5,2.05,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,BetAnything,Over,1.5,1.77,2026-05-30,2026-05-30
Yi Sak Lee,Luis Felipe Dias,BetAnything,Under,1.5,2.0,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,BetOnline.ag,Over,2.5,1.65,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,BetOnline.ag,Under,2.5,2.35,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,1xBet,Over,2.5,1.71,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,1xBet,Under,2.5,2.07,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,Pinnacle,Over,2.5,1.69,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,Pinnacle,Under,2.5,2.23,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,Coolbet,Over,2.5,1.68,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,Coolbet,Under,2.5,2.23,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,PMU (FR),Over,2.5,1.72,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,PMU (FR),Under,2.5,2.05,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,BetAnything,Over,2.5,1.65,2026-05-30,2026-05-30
Alex Perez,Su Mudaerji,BetAnything,Under,2.5,2.25,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,BetOnline.ag,Over,2.5,2.0,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,BetOnline.ag,Under,2.5,1.83,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,Pinnacle,Over,2.5,1.99,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,Pinnacle,Under,2.5,1.86,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,1xBet,Over,2.5,2.05,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,1xBet,Under,2.5,1.74,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,BetAnything,Over,2.5,1.88,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,BetAnything,Under,2.5,1.85,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,Coolbet,Over,2.5,2.15,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,Coolbet,Under,2.5,1.75,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,PMU (FR),Over,2.5,2.14,2026-05-30,2026-05-30
Jake Matthews,Carlston Harris,PMU (FR),Under,2.5,1.67,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,BetOnline.ag,Over,2.5,2.0,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,BetOnline.ag,Under,2.5,1.83,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,1xBet,Over,2.5,2.1,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,1xBet,Under,2.5,1.71,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,Pinnacle,Over,2.5,1.97,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,Pinnacle,Under,2.5,1.88,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,Coolbet,Over,2.5,2.15,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,Coolbet,Under,2.5,1.75,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,PMU (FR),Over,2.5,2.16,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,PMU (FR),Under,2.5,1.65,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,BetAnything,Over,2.5,1.91,2026-05-30,2026-05-30
Kai Asakura,Cameron Smotherman,BetAnything,Under,2.5,1.83,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,BetOnline.ag,Over,1.5,2.56,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,BetOnline.ag,Under,1.5,1.56,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,1xBet,Over,1.5,2.25,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,1xBet,Under,1.5,1.6,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,Pinnacle,Over,1.5,2.52,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,Pinnacle,Under,1.5,1.56,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,Coolbet,Over,1.5,2.5,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,Coolbet,Under,1.5,1.56,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,PMU (FR),Over,1.5,2.43,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,PMU (FR),Under,1.5,1.51,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,BetAnything,Over,1.5,2.4,2026-05-30,2026-05-30
Sergey Pavlovich,Tallison Teixeira,BetAnything,Under,1.5,1.59,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,BetOnline.ag,Over,1.5,2.35,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,BetOnline.ag,Under,1.5,1.65,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,1xBet,Over,1.5,2.45,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,1xBet,Under,1.5,1.54,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,Pinnacle,Over,1.5,2.34,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,Pinnacle,Under,1.5,1.64,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,Coolbet,Over,1.5,2.45,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,Coolbet,Under,1.5,1.57,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,PMU (FR),Over,1.5,2.45,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,PMU (FR),Under,1.5,1.51,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,BetAnything,Over,1.5,2.2,2026-05-30,2026-05-30
Zhang Mingyang,Alonzo Menifield,BetAnything,Under,1.5,1.67,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,BetOnline.ag,Over,4.5,1.91,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,BetOnline.ag,Under,4.5,1.91,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,1xBet,Over,4.5,1.88,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,1xBet,Under,4.5,1.86,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,Pinnacle,Over,4.5,1.88,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,Pinnacle,Under,4.5,1.96,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,Coolbet,Over,4.5,1.84,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,Coolbet,Under,4.5,1.98,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,PMU (FR),Over,4.5,1.83,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,PMU (FR),Under,4.5,1.91,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,BetAnything,Over,4.5,1.83,2026-05-30,2026-05-30
Song Yadong,Deiveson Figueiredo,BetAnything,Under,4.5,1.91,2026-05-30,2026-05-30
Diego Lopes,Steve Garcia Jr.,1xBet,Over,1.5,1.8,2026-05-30,2026-06-14
Diego Lopes,Steve Garcia Jr.,1xBet,Under,1.5,2.0,2026-05-30,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Over,2.5,1.8,2026-05-30,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Under,2.5,1.95,2026-05-30,2026-06-14
Derrick Lewis,Josh Hokit,1xBet,Over,1.5,1.75,2026-05-30,2026-06-14
Derrick Lewis,Josh Hokit,1xBet,Under,1.5,2.0,2026-05-30,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Over,2.5,1.9,2026-05-30,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Under,2.5,1.84,2026-05-30,2026-06-14
Sean O'Malley,Aiemann Zahabi,1xBet,Over,2.5,1.45,2026-05-30,2026-06-14
Sean O'Malley,Aiemann Zahabi,1xBet,Under,2.5,2.65,2026-05-30,2026-06-14
Alex Pereira,Ciryl Gane,1xBet,Over,2.5,1.8,2026-05-30,2026-06-15
Alex Pereira,Ciryl Gane,1xBet,Under,2.5,2.0,2026-05-30,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Over,2.5,1.81,2026-05-30,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Under,2.5,1.93,2026-05-30,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Over,1.5,1.67,2026-05-30,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Under,1.5,2.2,2026-05-30,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Over,1.5,1.74,2026-05-30,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Under,1.5,2.02,2026-05-30,2026-06-15
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,1.97,2026-05-30,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.76,2026-05-30,2026-07-12
Bryce Mitchell,Santiago Luna,BetOnline.ag,Over,2.5,1.61,2026-05-31,2026-06-06
Bryce Mitchell,Santiago Luna,BetOnline.ag,Under,2.5,2.45,2026-05-31,2026-06-06
Bryce Mitchell,Santiago Luna,1xBet,Over,2.5,1.5,2026-05-31,2026-06-06
Bryce Mitchell,Santiago Luna,1xBet,Under,2.5,2.48,2026-05-31,2026-06-06
Ketlen Souza,Ariane Carnelossi,BetOnline.ag,Over,2.5,1.49,2026-05-31,2026-06-06
Ketlen Souza,Ariane Carnelossi,BetOnline.ag,Under,2.5,2.77,2026-05-31,2026-06-06
Ketlen Souza,Ariane Carnelossi,1xBet,Over,2.5,1.35,2026-05-31,2026-06-06
Ketlen Souza,Ariane Carnelossi,1xBet,Under,2.5,3.0,2026-05-31,2026-06-06
Belal Muhammad,Gabriel Bonfim,BetOnline.ag,Over,3.5,1.57,2026-05-31,2026-06-06
Belal Muhammad,Gabriel Bonfim,BetOnline.ag,Under,3.5,2.53,2026-05-31,2026-06-06
Belal Muhammad,Gabriel Bonfim,1xBet,Over,2.5,1.36,2026-05-31,2026-06-06
Belal Muhammad,Gabriel Bonfim,1xBet,Under,2.5,3.0,2026-05-31,2026-06-06
Brendan Allen,Edmen Shahbazyan,BetOnline.ag,Over,1.5,1.54,2026-05-31,2026-06-06
Brendan Allen,Edmen Shahbazyan,BetOnline.ag,Under,1.5,2.61,2026-05-31,2026-06-06
Brendan Allen,Edmen Shahbazyan,1xBet,Over,2.5,1.95,2026-05-31,2026-06-06
Brendan Allen,Edmen Shahbazyan,1xBet,Under,2.5,1.8,2026-05-31,2026-06-06
Bruno Silva,Edgar Chairez,BetOnline.ag,Over,2.5,1.77,2026-05-31,2026-06-06
Bruno Silva,Edgar Chairez,BetOnline.ag,Under,2.5,2.1,2026-05-31,2026-06-06
Priscila Cachoeira,Chelsea Chandler,BetOnline.ag,Over,2.5,1.83,2026-05-31,2026-06-06
Priscila Cachoeira,Chelsea Chandler,BetOnline.ag,Under,2.5,2.0,2026-05-31,2026-06-06
Priscila Cachoeira,Chelsea Chandler,1xBet,Over,2.5,1.75,2026-05-31,2026-06-06
Priscila Cachoeira,Chelsea Chandler,1xBet,Under,2.5,2.0,2026-05-31,2026-06-06
Fares Ziam,Tom Nolan,BetOnline.ag,Over,1.5,1.51,2026-05-31,2026-06-06
Fares Ziam,Tom Nolan,BetOnline.ag,Under,1.5,2.7,2026-05-31,2026-06-06
Fares Ziam,Tom Nolan,1xBet,Over,2.5,1.8,2026-05-31,2026-06-06
Fares Ziam,Tom Nolan,1xBet,Under,2.5,1.95,2026-05-31,2026-06-06
Iwo Baraniewski,Junior Tafa,BetOnline.ag,Over,1.5,3.8,2026-05-31,2026-06-06
Iwo Baraniewski,Junior Tafa,BetOnline.ag,Under,1.5,1.29,2026-05-31,2026-06-06
Iwo Baraniewski,Junior Tafa,1xBet,Over,1.5,3.7,2026-05-31,2026-06-06
Iwo Baraniewski,Junior Tafa,1xBet,Under,1.5,1.25,2026-05-31,2026-06-06
Jeisla Chaves,Yuneisy Duben,BetOnline.ag,Over,2.5,1.71,2026-05-31,2026-06-06
Jeisla Chaves,Yuneisy Duben,BetOnline.ag,Under,2.5,2.2,2026-05-31,2026-06-06
Jordan Leavitt,Joanderson Brito,BetOnline.ag,Over,2.5,1.71,2026-05-31,2026-06-06
Jordan Leavitt,Joanderson Brito,BetOnline.ag,Under,2.5,2.2,2026-05-31,2026-06-06
Jordan Leavitt,Joanderson Brito,1xBet,Over,2.5,1.75,2026-05-31,2026-06-06
Jordan Leavitt,Joanderson Brito,1xBet,Under,2.5,2.0,2026-05-31,2026-06-06
Marcus McGhee,John Yannis,BetOnline.ag,Over,2.5,2.3,2026-05-31,2026-06-06
Marcus McGhee,John Yannis,BetOnline.ag,Under,2.5,1.67,2026-05-31,2026-06-06
Marcus McGhee,John Yannis,1xBet,Over,2.5,2.48,2026-05-31,2026-06-06
Marcus McGhee,John Yannis,1xBet,Under,2.5,1.5,2026-05-31,2026-06-06
Matt Schnell,Alessandro Costa,BetOnline.ag,Over,1.5,2.15,2026-05-31,2026-06-06
Matt Schnell,Alessandro Costa,BetOnline.ag,Under,1.5,1.74,2026-05-31,2026-06-06
Matt Schnell,Alessandro Costa,1xBet,Over,1.5,1.72,2026-05-31,2026-06-06
Matt Schnell,Alessandro Costa,1xBet,Under,1.5,2.05,2026-05-31,2026-06-06
Diego Lopes,Steve Garcia Jr.,1xBet,Over,1.5,1.8,2026-05-31,2026-06-14
Diego Lopes,Steve Garcia Jr.,1xBet,Under,1.5,2.0,2026-05-31,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Over,2.5,1.8,2026-05-31,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Under,2.5,1.95,2026-05-31,2026-06-14
Derrick Lewis,Josh Hokit,1xBet,Over,1.5,2.5,2026-05-31,2026-06-14
Derrick Lewis,Josh Hokit,1xBet,Under,1.5,1.53,2026-05-31,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Over,2.5,1.9,2026-05-31,2026-06-14
Mauricio Ruffy,Michael Chandler,1xBet,Under,2.5,1.84,2026-05-31,2026-06-14
Sean O'Malley,Aiemann Zahabi,1xBet,Over,2.5,1.45,2026-05-31,2026-06-14
Sean O'Malley,Aiemann Zahabi,1xBet,Under,2.5,2.65,2026-05-31,2026-06-14
Alex Pereira,Ciryl Gane,1xBet,Over,2.5,1.8,2026-05-31,2026-06-15
Alex Pereira,Ciryl Gane,1xBet,Under,2.5,2.0,2026-05-31,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Over,2.5,1.81,2026-05-31,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Under,2.5,1.93,2026-05-31,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Over,1.5,1.67,2026-05-31,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Under,1.5,2.2,2026-05-31,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Over,1.5,1.78,2026-05-31,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Under,1.5,1.97,2026-05-31,2026-06-15
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,1.97,2026-05-31,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.76,2026-05-31,2026-07-12
Bryce Mitchell,Santiago Luna,BetOnline.ag,Over,2.5,1.56,2026-06-01,2026-06-06
Bryce Mitchell,Santiago Luna,BetOnline.ag,Under,2.5,2.57,2026-06-01,2026-06-06
Bryce Mitchell,Santiago Luna,1xBet,Over,2.5,1.5,2026-06-01,2026-06-06
Bryce Mitchell,Santiago Luna,1xBet,Under,2.5,2.48,2026-06-01,2026-06-06
Ketlen Souza,Ariane Carnelossi,BetOnline.ag,Over,2.5,1.44,2026-06-01,2026-06-06
Ketlen Souza,Ariane Carnelossi,BetOnline.ag,Under,2.5,2.89,2026-06-01,2026-06-06
Ketlen Souza,Ariane Carnelossi,1xBet,Over,2.5,1.35,2026-06-01,2026-06-06
Ketlen Souza,Ariane Carnelossi,1xBet,Under,2.5,3.0,2026-06-01,2026-06-06
Belal Muhammad,Gabriel Bonfim,BetOnline.ag,Over,3.5,1.57,2026-06-01,2026-06-06
Belal Muhammad,Gabriel Bonfim,BetOnline.ag,Under,3.5,2.53,2026-06-01,2026-06-06
Belal Muhammad,Gabriel Bonfim,1xBet,Over,2.5,1.36,2026-06-01,2026-06-06
Belal Muhammad,Gabriel Bonfim,1xBet,Under,2.5,3.0,2026-06-01,2026-06-06
Brendan Allen,Edmen Shahbazyan,BetOnline.ag,Over,1.5,1.54,2026-06-01,2026-06-06
Brendan Allen,Edmen Shahbazyan,BetOnline.ag,Under,1.5,2.61,2026-06-01,2026-06-06
Brendan Allen,Edmen Shahbazyan,1xBet,Over,2.5,1.95,2026-06-01,2026-06-06
Brendan Allen,Edmen Shahbazyan,1xBet,Under,2.5,1.8,2026-06-01,2026-06-06
Bruno Silva,Edgar Chairez,BetOnline.ag,Over,2.5,1.77,2026-06-01,2026-06-06
Bruno Silva,Edgar Chairez,BetOnline.ag,Under,2.5,2.1,2026-06-01,2026-06-06
Priscila Cachoeira,Chelsea Chandler,BetOnline.ag,Over,2.5,1.83,2026-06-01,2026-06-06
Priscila Cachoeira,Chelsea Chandler,BetOnline.ag,Under,2.5,2.0,2026-06-01,2026-06-06
Priscila Cachoeira,Chelsea Chandler,1xBet,Over,2.5,1.75,2026-06-01,2026-06-06
Priscila Cachoeira,Chelsea Chandler,1xBet,Under,2.5,2.0,2026-06-01,2026-06-06
Fares Ziam,Tom Nolan,BetOnline.ag,Over,1.5,1.51,2026-06-01,2026-06-06
Fares Ziam,Tom Nolan,BetOnline.ag,Under,1.5,2.7,2026-06-01,2026-06-06
Fares Ziam,Tom Nolan,1xBet,Over,2.5,1.8,2026-06-01,2026-06-06
Fares Ziam,Tom Nolan,1xBet,Under,2.5,1.95,2026-06-01,2026-06-06
Iwo Baraniewski,Junior Tafa,BetOnline.ag,Over,1.5,3.45,2026-06-01,2026-06-06
Iwo Baraniewski,Junior Tafa,BetOnline.ag,Under,1.5,1.33,2026-06-01,2026-06-06
Iwo Baraniewski,Junior Tafa,1xBet,Over,1.5,3.7,2026-06-01,2026-06-06
Iwo Baraniewski,Junior Tafa,1xBet,Under,1.5,1.25,2026-06-01,2026-06-06
Jeisla Chaves,Yuneisy Duben,BetOnline.ag,Over,2.5,1.71,2026-06-01,2026-06-06
Jeisla Chaves,Yuneisy Duben,BetOnline.ag,Under,2.5,2.2,2026-06-01,2026-06-06
Jordan Leavitt,Joanderson Brito,BetOnline.ag,Over,2.5,1.69,2026-06-01,2026-06-06
Jordan Leavitt,Joanderson Brito,BetOnline.ag,Under,2.5,2.25,2026-06-01,2026-06-06
Jordan Leavitt,Joanderson Brito,1xBet,Over,2.5,1.75,2026-06-01,2026-06-06
Jordan Leavitt,Joanderson Brito,1xBet,Under,2.5,2.0,2026-06-01,2026-06-06
Marcus McGhee,John Yannis,BetOnline.ag,Over,2.5,2.4,2026-06-01,2026-06-06
Marcus McGhee,John Yannis,BetOnline.ag,Under,2.5,1.62,2026-06-01,2026-06-06
Marcus McGhee,John Yannis,1xBet,Over,2.5,2.48,2026-06-01,2026-06-06
Marcus McGhee,John Yannis,1xBet,Under,2.5,1.5,2026-06-01,2026-06-06
Matt Schnell,Alessandro Costa,BetOnline.ag,Over,1.5,2.15,2026-06-01,2026-06-06
Matt Schnell,Alessandro Costa,BetOnline.ag,Under,1.5,1.74,2026-06-01,2026-06-06
Diego Lopes,Steve Garcia Jr.,1xBet,Over,1.5,1.8,2026-06-01,2026-06-14
Diego Lopes,Steve Garcia Jr.,1xBet,Under,1.5,2.0,2026-06-01,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Over,2.5,1.8,2026-06-01,2026-06-14
Bo Nickal,Kyle Daukaus,1xBet,Under,2.5,1.95,2026-06-01,2026-06-14
