fight_key,r_clv,b_clv,clv_diff_rb,r_movement_pct,b_movement_pct,movement_diff_rb,r_late,b_late,late_diff_rb,r_steam,b_steam,steam_diff_rb,r_vol,b_vol,vol_diff_rb
aalon cruz_spike carlyle,-18.3,26.5,-44.8,-15.5324440425051,36.165000000000006,-51.697444042505104,-0.07177666666670013,0.18999999999999995,-0.2617766666667001,-0.20088866666665983,0.4585786666666398,-0.6594673333332997,0.11628678079500769,0.2636443373806469,-0.1473575565856392
aalon cruz_uros medic,-34.1,30.0,-64.1,-25.258536585365842,42.59444444444445,-67.8529810298103,-0.06848333333329992,0.2083333333334001,-0.2768166666667,-0.1273111666666602,0.18299999999999983,-0.31031116666666003,0.13368281246752808,0.1806838091498247,-0.047000996682296625
aaron phillips_gaston bolanos,5.5,-5.5,11.0,5.625000000000013,-5.224615384615383,10.849615384615397,-0.047499999999999876,0.02271499999999982,-0.0702149999999997,0.0887500000000001,-0.036589333333340024,0.12533933333334013,0.05409496857379629,0.028575308352814934,0.025519660220981354
aaron phillips_jack shore,-12.9,41.5,-54.4,-11.424000000000001,70.93023255813952,-82.35423255813953,-0.033400000000000096,1.0833333333332993,-1.1167333333332994,-0.05030866666667988,1.1733333333333205,-1.2236420000000003,0.03558456819247544,0.7673113231711514,-0.7317267549786759
aaron phillips_matt hobar,-10.2,11.1,-21.299999999999997,-9.259259259259256,12.67772511848342,-21.936984377742675,-0.21499999999999986,0.071855,-0.28685499999999986,-0.0940000000000003,0.07183700000000015,-0.16583700000000046,0.11604309544302922,0.05070925879215749,0.06533383665087172
aaron phillips_sam sicilia,4.9,2.2,2.7,5.254965444243798,2.2222222222222143,3.0327432220215833,0.04532000000000003,-0.10000000000000009,0.14532000000000012,0.025825999999999683,0.04999999999999982,-0.02417400000000014,0.026450511507341387,0.039051248379533304,-0.012600736872191917
aaron pico_lerone murphy,10.1,-10.0,20.1,11.380487804878058,-8.911111111111115,20.291598915989173,-0.08833333333339999,0.045655,-0.1339883333334,0.17893333333333983,-0.08811146666666025,0.2670448000000001,0.1266453666301744,0.06704638357783257,0.05959898305234182
aaron riley_joe brammer,-4.8,9.3,-14.100000000000001,-4.543718976708666,10.20408163265305,-14.747800609361716,0.03488000000000002,-0.07999999999999963,0.11487999999999965,-0.02708250000000012,0.11999999999999922,-0.14708249999999934,0.031152899719568666,0.09640409742329419,-0.06525119770372552
aaron riley_justin salas,18.8,-8.1,26.9,23.0,-7.462490991286108,30.46249099128611,0.10000000000000009,-0.018140000000000045,0.11814000000000013,0.1349999999999998,-0.0015840000000002519,0.13658400000000004,0.15750000000000003,0.03567781544601628,0.12182218455398375
aaron riley_tony ferguson,-6.4,25.6,-32.0,-6.047625961957303,34.42622950819671,-40.473855470154014,-0.013570000000000082,0.14999999999999947,-0.16356999999999955,-0.03289166666666654,0.6249999999999996,-0.6578916666666661,0.03352867011976466,0.3646916505762094,-0.3311629804564447
aaron rosa_james te huna,-2.5,14.5,-17.0,-2.472402842885224,16.901408450704245,-19.37381129358947,-0.017830000000000013,0.20000000000000018,-0.2178300000000002,-0.015063999999999744,0.33000000000000007,-0.3450639999999998,0.01465335920531532,0.20303940504246965,-0.18838604583715432
aaron rosa_joey beltran,-18.6,11.5,-30.1,-15.686274509803921,12.995780590717288,-28.68205510052121,-0.20000000000000018,0.09558,-0.2955800000000002,-0.1599999999999997,0.07743400000000022,-0.23743399999999992,0.11135528725660045,0.054781353844168525,0.05657393341243192
aaron rosa_matt lucas,9.1,-4.8,13.899999999999999,9.995800083998319,-4.545454545454552,14.54125462945287,0.03332999999999986,-0.04999999999999982,0.08332999999999968,0.1043750000000001,-0.07500000000000018,0.17937500000000028,0.06462163260085585,0.05099019513592786,0.013631437464927988
aaron simpson_brad tavares,9.8,-2.6,12.4,10.909090909090914,-2.506230960952649,13.415321870043563,0.04999999999999982,-0.008510000000000018,0.05850999999999984,0.11249999999999982,-0.015880000000000116,0.12837999999999994,0.1344839674459376,0.019094024425196476,0.11538994302074113
aaron simpson_chris leben,6.6,1.8,4.8,7.042253521126751,1.8559876780900986,5.186265843036653,0.04999999999999982,0.024070000000000036,0.025929999999999787,0.1899999999999995,-0.007275999999999838,0.19727599999999934,0.13086252328302397,0.01251229171654822,0.11835023156647576
aaron simpson_eric schafer,-4.6,19.8,-24.4,-4.412326986311854,24.65753424657533,-29.069861232887185,0.006099999999999994,0.25,-0.2439,-0.05500499999999997,0.6375000000000002,-0.6925050000000001,0.029500355400401523,0.3472548595772275,-0.317754504176826
aaron simpson_kenny robertson,-4.9,19.0,-23.9,-4.620145899344186,23.4375,-28.057645899344188,-0.018205000000000027,0.17500000000000027,-0.1932050000000003,-0.025660000000000016,0.3500000000000001,-0.3756600000000001,0.01670525243748204,0.21395092895334666,-0.1972456765158646
aaron simpson_mario miranda,5.5,-2.5,8.0,5.769230769230771,-2.4193548387096753,8.188585607940446,0.04999999999999982,-0.02381000000000011,0.07380999999999993,0.03333333333333277,0.00044166666666667354,0.0328916666666661,0.0678232998312526,0.02037584157771161,0.04744745825354099
aaron simpson_mark munoz,-18.6,14.4,-33.0,-15.686274509803921,16.84518013631937,-32.531454646123294,-0.20000000000000018,0.1103400000000001,-0.3103400000000003,-0.11000000000000032,0.08765999999999985,-0.19766000000000017,0.09759610647971567,0.06708588939560986,0.030510217084105812
aaron simpson_mike pierce,-10.2,11.7,-21.9,-9.259259259259256,13.639531642040703,-22.89879090129996,-0.1349999999999998,0.053364999999999885,-0.18836499999999967,0.12199999999999989,0.009184999999999777,0.11281500000000011,0.13679912280420514,0.052871201813936494,0.08392792099026865
aaron simpson_ronny markes,33.0,-48.7,81.7,49.30217461863031,-32.772549019607844,82.07472363823815,0.2999999999999998,-0.11903999999999981,0.41903999999999963,0.21777999999999986,-0.21751399999999976,0.4352939999999996,0.18202529802200568,0.22451179198652343,-0.04248649396451776
aaron wilkinson_cody mckenzie,16.8,-25.7,42.5,20.205263820677487,-20.454166666666662,40.65943048734415,-0.04329000000000005,0.03952,-0.08281000000000005,0.1921733333333333,-0.24581166666666654,0.43798499999999985,0.11532218966257715,0.16690708011296804,-0.051584890450390886
abdul razak alhassan_alessio di chirico,-17.2,25.0,-42.2,-14.642596644784822,33.25333333333334,-47.89592997811816,-0.008939090909100056,0.015454545454499868,-0.024393636363599924,-0.0679857030303197,0.24515151515152,-0.3131372181818397,0.06649480157732682,0.20531022874554508,-0.13881542716821826
abdul razak alhassan_cesar almeida,-2.0,12.1,-14.1,-1.935714285714274,13.938181818181828,-15.873896103896103,0.02728333333330002,-0.1166666666667,0.14395000000000002,-0.014458999999979794,0.13500000000000023,-0.14945899999998002,0.01978438151462657,0.16551476939804458,-0.145730387883418
abdul razak alhassan_charlie ward,6.2,1.1,5.1,6.428571428571428,1.1744574939721364,5.2541139345992915,0.10000000000000009,-0.03652999999999995,0.13653000000000004,0.07500000000000062,0.02301799999999976,0.05198200000000086,0.08591420138719794,0.015127813589544277,0.07078638779765366
abdul razak alhassan_claudio ribeiro,-1.8,1.2,-3.0,-1.5212046711739369,1.3425331621737424,-2.8637378333476793,0.06289555555559989,-0.05080222222230013,0.11369777777790002,-0.062094444444459995,0.06243711111112016,-0.12453155555558015,0.039687696663862564,0.039382726389741204,0.0003049702741213592
abdul razak alhassan_jacob malkoun,2.1,-9.7,11.799999999999999,2.294469938554866,-8.87532467532467,11.169794613879535,-0.01010500000000003,0.041666666666599905,-0.051771666666599936,-0.01607589999999992,0.001833333333340459,-0.01790923333334038,0.020998022902439684,0.14247341369922972,-0.12147539079679004
abdul razak alhassan_joaquin buckley,-2.8,1.7,-4.5,-2.669946601067974,1.6608695652174044,-4.330816166285379,-0.03906363636370003,0.08545454545450015,-0.12451818181820018,-0.013012961616180263,0.017501010100999803,-0.030513971717180066,0.01449396413413922,0.03142046123378598,-0.016926497099646762
abdul razak alhassan_khaos williams,-0.2,6.7,-6.9,0.1909125620465968,7.374468085106378,-7.183555523059781,0.14378666666670004,-0.4833333333334,0.6271200000001,0.0021939999999804893,0.039333333333319676,-0.037139333333339186,0.05543972732116241,0.2024859391551916,-0.14704621183402922
abdul razak alhassan_mounir lazzez,-17.1,30.2,-47.3,-14.58666666666667,43.21111111111109,-57.79777777777775,-0.01644333333330006,0.18333333333340018,-0.19977666666670024,-0.07226733333332014,0.40000000000000036,-0.4722673333333205,0.05647889828265249,0.3043024810940576,-0.24782358281140512
abdul razak alhassan_niko price,19.3,-28.3,47.6,23.927296332359617,-22.07755102040817,46.00484735276778,0.15410499999999994,-0.21591000000000005,0.370015,0.09582299999999999,-0.15318200000000015,0.24900500000000014,0.08813179007741757,0.13658072898106824,-0.048448938903650665
abdul razak alhassan_omari akhmedov,-11.6,24.1,-35.7,-10.301850048685502,31.63265306122449,-41.93450310991,-0.052959999999999896,0.30000000000000027,-0.35296000000000016,-0.014516999999999891,0.06000000000000005,-0.07451699999999994,0.04716532415079962,0.2312466215969435,-0.18408129744614388
abdul razak alhassan_sabah homasi,-22.3,11.7,-34.0,-18.208955223880597,13.43453510436432,-31.643490328244916,0.025000000000000355,-0.02717499999999995,0.052175000000000304,-0.20000000000000018,0.06458799999999987,-0.26458800000000005,0.19164028803985872,0.05668165623903377,0.13495863180082496
abdul-kareem al-selwady_loik radzhabov,-41.6,26.8,-68.4,-29.289256198347104,36.72081601813375,-66.01007221648086,0.14667142857140014,-0.2799999999999998,0.42667142857139995,-0.48907633333335987,0.47115276190475996,-0.9602290952381198,0.32384576993032227,0.30238080142474905,0.021464968505573223
abdul-kareem al-selwady_shem rock,-47.4,25.9,-73.3,-31.565384615384616,35.30671859785783,-66.87210321324244,-0.15795500000000007,0.2169049999999999,-0.37485999999999997,-0.18926693333336053,0.13393856666668036,-0.3232055000000409,0.2003027066184982,0.12546147214818318,0.07484123447031502
abdul-kerim edilov_bojan mihajlovic,25.0,-4.0,29.0,33.33333333333335,-3.8731218697829695,37.20645520311632,-0.2999999999999998,-0.0005649999999999267,-0.2994349999999999,0.875,-0.03651000000000004,0.91151,0.5278553305594252,0.021003558888912147,0.5068517716705131
abel trujillo_gleison tibau,-0.3,9.5,-9.8,-0.32783178837892946,10.523283222460833,-10.851115010839763,-0.021210000000000173,-0.015000000000000124,-0.006210000000000049,0.0224920000000004,0.0551819999999994,-0.032689999999999,0.034093074370024186,0.05939159385805373,-0.025298519488029546
abel trujillo_james vick,11.4,-2.6,14.0,12.916598483608798,-2.3345879015982063,15.251186385207005,0.06886000000000037,-0.07902999999999993,0.1478900000000003,0.11611399999999983,-0.04043600000000014,0.15654999999999997,0.06757819188909987,0.045877634572850406,0.021700557316249466
abel trujillo_jamie varner,16.7,-25.0,41.7,20.21227805804888,-19.952,40.16427805804888,0.07764000000000015,-0.1238100000000002,0.20145000000000035,0.13573600000000008,-0.2547620000000004,0.39049800000000046,0.08546858616474244,0.15162563255927414,-0.0661570463945317
abel trujillo_john makdessi,-4.4,7.0,-11.4,-4.255319148936176,7.528318696703584,-11.78363784563976,-0.2250000000000001,0.08304,-0.3080400000000001,-0.12700000000000022,0.0761909999999999,-0.20319100000000012,0.13323006417471997,0.05332649231151436,0.07990357186320561
abel trujillo_jordan rinaldi,-1.2,9.7,-10.899999999999999,-1.1597258829731172,10.769230769230775,-11.928956652203892,-0.020829999999999904,-0.10000000000000009,0.07917000000000018,-9.750000000008363e-05,0.2124999999999999,-0.2125975,0.010894303485652478,0.14238482187368148,-0.131490518388029
