name,height,reach,age,rank,total_rounds,title_bouts,dias_inativo,wins,losses,win_streak,lose_streak,longest_win_streak,ko_wins,sub_wins,SLpM,sig_str_acc,td_avg,td_acc,sub_avg,ctrl_avg,kd_per_fight,head_ratio,body_ratio,leg_ratio,distance_ratio,clinch_ratio,ground_ratio,sig_pct_fade,td_fade,ctrl_fade,rev_avg,finish_rate,ko_rate,sub_rate,SApM,str_def,td_def,ufc_debut,win_rate_l5,win_rate_l3
Rostem Akman,177.8,182.88,27,,3,0,2417,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.6,0.3866666666666666,2.0,0.4,0.0,199.0,0.0,0.7692307692307693,0.1538461538461538,0.0769230769230769,0.7948717948717948,0.2051282051282051,0.0,,,,0.0,0.0,0.0,0.0,4.0,0.5973154362416108,0.8333333333333334,2019-06-01,0.0,0.0
Vitor Belfort,182.88,187.96,41,9.0,38,6,2928,15.0,11.0,0.0,1.0,3.0,12.0,2.0,1.9529465509365007,0.5030666666666667,0.24,0.75,0.32,19.08,0.44,0.8035087719298246,0.119298245614035,0.0771929824561403,0.4385964912280701,0.2385964912280701,0.3228070175438596,0.0077777777777777,-0.75,-11.805555555555555,0.04,0.84,0.72,0.12,3.598925693822739,0.4937027707808564,0.6857142857142857,2011-02-05,0.8,0.6666666666666666
Saimon Oliveira,162.56,182.88,34,,9,0,219,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.4133663366336635,0.3872222222222223,0.0,0.0,1.3333333333333333,50.0,0.0,0.4769230769230769,0.2307692307692307,0.2923076923076923,0.8307692307692308,0.1692307692307692,0.0,-0.2566666666666667,0.0,-15.0,0.0,0.6666666666666666,0.6666666666666666,0.0,4.678217821782178,0.4220183486238532,0.3529411764705882,2022-01-22,0.0,0.0
Josiah Harrell,170.18,172.72,27,,0,0,86,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2026-02-21,,
Leonard Garcia,177.8,175.26,33,,21,0,4769,2.0,7.0,0.0,5.0,1.0,0.0,1.0,3.0570196454240537,0.3004166666666666,0.5,0.3333333333333333,0.375,58.0,0.125,0.6520376175548589,0.1661442006269592,0.1818181818181818,0.8714733542319749,0.0783699059561128,0.0501567398119122,-0.3008333333333334,0.5,-40.5,0.625,0.25,0.0,0.25,5.721130809774797,0.5432287681713848,0.2857142857142857,2010-12-04,1.0,1.0
Jared Hamman,190.5,190.5,31,,12,0,4643,2.0,5.0,0.0,3.0,1.0,1.0,0.0,5.565974547890154,0.3891666666666666,0.3333333333333333,0.25,0.0,111.66666666666669,0.1666666666666666,0.7075812274368231,0.187725631768953,0.1046931407942238,0.6498194945848376,0.075812274368231,0.2743682310469314,-0.0433333333333333,-1.0,-207.5,0.5,0.6666666666666666,0.6666666666666666,0.0,4.320160750167449,0.5473684210526315,0.3055555555555556,2010-03-27,0.5,0.5
Nam Phan,167.64,177.8,30,,21,0,4461,2.0,6.0,0.0,3.0,1.0,0.0,0.0,5.552380952380952,0.3828571428571428,0.1428571428571428,1.0,0.1428571428571428,41.285714285714285,0.0,0.7512864493996569,0.216123499142367,0.0325900514579759,0.9794168096054888,0.006861063464837,0.0137221269296741,-0.0894444444444444,0.0,-80.5,0.0,0.0,0.0,0.0,6.933333333333334,0.6343545956805625,0.5892857142857143,2010-12-04,0.4,0.3333333333333333
Alexa Grasso,165.1,167.64,32,,45,3,51,9.0,6.0,1.0,0.0,5.0,1.0,2.0,4.1084745762711865,0.4308928571428571,0.4285714285714285,0.3529411764705882,0.6428571428571429,90.92857142857144,0.0714285714285714,0.6182618261826183,0.1914191419141914,0.1903190319031903,0.812981298129813,0.1562156215621562,0.0308030803080308,-0.1259722222222222,0.4166666666666666,-8.75,0.2857142857142857,0.2142857142857142,0.0,0.2142857142857142,4.093430656934307,0.5945633314054366,0.6111111111111112,2016-11-05,0.8,1.0
Martin Kampmann,182.88,182.88,31,6.0,32,0,4646,11.0,6.0,0.0,2.0,4.0,2.0,5.0,3.337372758119244,0.4096875,0.8125,0.4193548387096774,1.3125,149.5625,0.3125,0.7864923747276689,0.1764705882352941,0.037037037037037,0.5969498910675382,0.2265795206971677,0.1764705882352941,-0.0896666666666667,0.0666666666666666,14.0,0.1875,0.625,0.3125,0.3125,2.937469704314106,0.6303751143641354,0.7777777777777778,2010-06-12,0.6,0.6666666666666666
Alessio Di Chirico,182.88,187.96,32,,23,0,1353,4.0,7.0,0.0,2.0,2.0,2.0,0.0,3.2957332025502697,0.4216666666666667,1.1,0.4583333333333333,0.0,64.5,0.3,0.6696428571428571,0.181547619047619,0.1488095238095238,0.8214285714285714,0.1309523809523809,0.0476190476190476,-0.0533333333333333,-1.3333333333333333,-75.0,0.0,0.4,0.3,0.1,3.2368808239333005,0.6287964004499438,0.8333333333333334,2016-04-10,0.4,0.0
Norma Dumont,170.18,170.18,35,4.0,30,0,198,9.0,3.0,0.0,1.0,6.0,0.0,0.0,3.889511772500255,0.4941818181818183,1.5454545454545454,0.5666666666666667,0.0,222.0909090909091,0.1818181818181818,0.6179245283018868,0.2122641509433962,0.1698113207547169,0.809748427672956,0.130503144654088,0.0597484276729559,0.0284444444444443,0.6666666666666667,135.39999999999998,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,2.1159922535929057,0.6587771203155819,0.6896551724137931,2020-02-29,1.0,1.0
Sultan Aliev,180.34,187.96,34,,6,0,2585,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.263537906137184,0.5205555555555555,1.0,0.5,0.0,233.33333333333331,0.0,0.8285714285714286,0.1428571428571428,0.0285714285714285,0.4857142857142857,0.2571428571428571,0.2571428571428571,-0.1549999999999999,1.0,105.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,2.3465703971119134,0.5220588235294117,1.0,2015-01-24,0.5,0.5
Ray Rodriguez,170.18,177.8,33,,4,0,1892,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.2,1.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,1.0,0.6666666666666667,1.0,2020-09-05,0.0,0.0
Marco Tulio,182.88,187.96,31,,8,0,191,2.0,2.0,0.0,2.0,2.0,2.0,0.0,9.305084745762713,0.5766666666666667,0.6666666666666666,0.4,0.0,74.0,1.0,0.5846994535519126,0.2622950819672131,0.1530054644808743,0.8579234972677595,0.0546448087431694,0.087431693989071,-0.06,2.0,127.0,0.0,1.0,1.0,0.0,2.3389830508474576,0.6198347107438016,0.0,2025-01-11,1.0,1.0
Tereza Bleda,175.26,180.34,24,,9,0,156,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.835538752362949,0.4933333333333333,2.0,0.2352941176470588,1.0,473.5,0.0,0.6133333333333333,0.2533333333333333,0.1333333333333333,0.4,0.16,0.44,0.16,2.0,355.0,0.0,0.5,0.5,0.0,2.570888468809074,0.4285714285714286,1.0,2022-11-19,0.5,0.5
Alexander Hernandez,175.26,182.88,32,,36,0,247,10.0,8.0,0.0,1.0,4.0,5.0,0.0,4.307781987758671,0.4394117647058823,0.7647058823529411,0.3611111111111111,0.0588235294117647,85.17647058823529,0.3529411764705882,0.5385656292286874,0.3193504736129905,0.142083897158322,0.8389715832205683,0.0825439783491204,0.0784844384303112,-0.018,-0.8285714285714285,-14.914285714285713,0.1176470588235294,0.5294117647058824,0.4705882352941176,0.0588235294117647,4.50014573010784,0.5923970432946146,0.7317073170731707,2018-03-03,0.6,0.6666666666666666
Danny Barlow,187.96,200.66,30,,8,0,212,2.0,2.0,0.0,2.0,2.0,1.0,0.0,5.328054298642535,0.5011111111111112,0.0,0.0,0.0,29.666666666666668,0.3333333333333333,0.7133757961783439,0.1401273885350318,0.1464968152866242,0.9490445859872612,0.0127388535031847,0.0382165605095541,-0.03,0.0,-13.0,0.0,0.6666666666666666,0.6666666666666666,0.0,3.631221719457014,0.5046296296296297,1.0,2024-02-17,0.6666666666666666,0.6666666666666666
Seth Baczynski,190.5,187.96,33,,22,0,4055,5.0,6.0,0.0,3.0,4.0,1.0,2.0,3.0866246266179886,0.3306666666666666,0.6,0.1666666666666666,0.5,127.3,0.2,0.6645161290322581,0.2258064516129032,0.1096774193548387,0.6741935483870968,0.2096774193548387,0.1161290322580645,-0.0872222222222221,0.6666666666666667,12.166666666666655,0.0,0.5,0.3,0.2,3.1164951875207434,0.5162287480680061,0.4838709677419355,2010-06-19,0.6,0.3333333333333333
Victor Hugo,170.18,180.34,31,,5,0,569,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.533333333333333,0.5299999999999999,0.0,0.0,0.0,49.0,1.0,0.4558823529411764,0.3088235294117647,0.2352941176470588,0.8382352941176471,0.1617647058823529,0.0,,,,0.0,0.0,0.0,0.0,2.8,0.6037735849056604,0.9230769230769232,2024-04-06,1.0,1.0
Cody Pfister,177.8,185.42,26,,7,0,3596,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.1636363636363636,0.3827777777777778,2.333333333333333,0.4117647058823529,0.0,255.33333333333331,0.0,0.875,0.125,0.0,0.5625,0.1875,0.25,0.2250000000000001,2.0,53.0,0.0,0.6666666666666666,0.0,0.6666666666666666,2.4,0.5540540540540541,0.0,2015-02-14,0.3333333333333333,0.3333333333333333
